# Time-averaged data for fix stress
# TimeStep c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
610000 -158.689 -5.26634 70.7022 189.184 -39.652 129.742
612000 81.8026 38.3152 48.538 -31.9482 22.5763 107.579
614000 9.73559 -34.096 -107.174 9.29433 38.3471 22.6151
616000 169.582 -28.1273 17.1362 -34.4479 28.0734 125.22
618000 -80.9496 -67.4889 61.7096 -74.771 -75.7188 228.758
620000 -55.1778 30.3242 22.4691 -87.8974 -57.3126 139.574
622000 -85.9154 -81.0683 74.7676 -156.731 53.8812 150.078
624000 24.6648 -77.7501 -112.183 64.8038 17.5245 97.646
626000 -26.7303 -79.1512 -144.034 50.2303 -18.8144 67.4309
628000 10.0072 -19.2024 48.209 31.9168 -42.3472 31.9644
630000 -71.3877 -58.3356 73.2948 105.665 -44.2403 72.5899
632000 -108.471 -101.607 246.183 162.177 -106.621 55.3299
634000 -247.229 -46.0735 266.852 62.3076 -86.3437 9.98713
636000 94.5314 37.2265 196.003 -10.0553 -114.439 97.8162
638000 -50.6266 -92.4155 98.7305 0.239109 -28.2853 -2.72369
640000 -177.039 -139.578 -27.8208 28.4889 -53.0077 -55.7373
642000 146.6 38.0358 41.3217 97.5555 -59.2825 24.9516
644000 -78.5492 -18.3065 -71.129 24.7401 -46.9882 20.2702
646000 25.3285 -130.586 25.1641 41.493 -199.105 -40.6334
648000 -60.8763 -93.3849 111.083 75.9613 -140.636 -98.2209
650000 35.8259 -115.212 216.231 85.32 55.0213 -44.2243
652000 -32.7395 -156.314 70.1195 -6.71608 -108.672 -17.4157
654000 175.493 -167.5 -57.7868 42.2757 32.6107 -72.2311
656000 67.5999 -100.061 29.753 -54.3003 110.458 -119.018
658000 125.159 -178.096 176.57 30.3545 59.0765 -14.5354
660000 85.7456 -236.467 11.0961 -24.9681 -84.2655 125.581
662000 185.703 -228.338 -37.5728 -118.88 -101.087 79.5962
664000 135.792 -2.42641 -83.012 -117.862 -47.0553 6.67356
666000 39.8952 -20.8779 -97.6634 -194.695 84.6257 -79.9479
668000 40.8952 128.69 -89.3227 -97.2348 -4.58313 10.2148
670000 215.789 75.7448 -152.533 -0.497174 -25.9714 -21.7144
672000 195.256 -39.3935 -190.333 -12.6554 101.321 -19.8023
674000 200.567 45.9109 -191.955 -94.9401 -29.6171 0.731233
676000 12.7598 38.5654 50.3316 -53.6884 6.93679 67.3807
678000 113.479 3.73675 -80.1381 -9.02643 -6.97749 -13.535
680000 145.799 25.322 30.0516 -49.2179 113.259 -41.8835
682000 157.773 30.8914 -46.0854 -72.8872 196.239 -13.2382
684000 193.888 19.5977 -24.2622 179.457 116.262 -108.643
686000 -44.1049 42.9959 34.4041 172.011 131.725 -107.742
688000 -46.3831 24.176 -188.602 127.066 76.2806 -92.6759
690000 87.554 -10.7639 130.876 173.424 61.7892 -29.1695
692000 -52.7916 -41.8725 125.52 -70.7637 106.547 -110.287
694000 -187.82 -129.083 14.0012 41.1957 119.136 -138.664
696000 127.751 109.405 67.3522 15.1289 156.824 22.6246
698000 28.5508 25.6786 -225.467 112.894 215.872 -21.0795
700000 110.832 59.4904 -66.6657 112.793 93.9895 0.218337
702000 87.4919 41.5427 -233.187 125.951 108.8 38.0996
704000 78.9225 -36.6123 -129.308 65.8963 18.3384 68.2878
