# Time-averaged data for fix vACFavg
# TimeStep c_vAutoCorrFxn[1] c_vAutoCorrFxn[2] c_vAutoCorrFxn[3] c_vAutoCorrFxn[4]
516000 3.78024e-08 7.1333e-08 -7.09e-09 1.02045e-07
518000 -1.88618e-08 2.47068e-08 -2.07508e-08 -1.49057e-08
520000 2.35556e-08 1.91655e-08 4.21539e-08 8.4875e-08
522000 -2.08227e-08 -1.28367e-08 -1.66734e-08 -5.03328e-08
524000 -3.27388e-08 2.3677e-08 2.32621e-10 -8.82913e-09
526000 -1.54257e-08 2.07248e-08 -6.5063e-09 -1.20718e-09
528000 -4.1894e-08 -2.11865e-08 -2.49456e-08 -8.80261e-08
530000 -1.31268e-08 -5.22922e-08 4.29363e-08 -2.24827e-08
532000 1.24502e-08 -7.72795e-09 -2.98335e-08 -2.51113e-08
534000 2.38567e-08 2.48263e-08 -1.39985e-08 3.46845e-08
536000 -1.28147e-08 2.16615e-09 3.18117e-08 2.11632e-08
538000 2.65038e-08 1.34786e-09 -8.27409e-09 1.95775e-08
540000 -3.1534e-08 -3.63689e-09 -1.41548e-08 -4.93257e-08
542000 2.03861e-08 -9.19661e-09 7.99564e-09 1.91851e-08
544000 -6.37266e-09 1.85035e-08 -1.36606e-08 -1.52974e-09
546000 -2.73593e-08 -3.89002e-09 -3.3564e-08 -6.48133e-08
548000 2.57892e-08 5.62576e-09 1.09092e-08 4.23243e-08
550000 -3.72336e-08 9.9124e-09 -3.91353e-08 -6.64565e-08
552000 2.72145e-08 3.59404e-08 3.44379e-08 9.75928e-08
554000 2.83813e-09 -6.60469e-08 5.33869e-08 -9.8219e-09
556000 1.95217e-08 1.14505e-08 -4.87586e-08 -1.77864e-08
558000 -8.3804e-09 3.22675e-09 -1.57963e-09 -6.73328e-09
560000 -2.89558e-08 3.9273e-08 -4.59114e-08 -3.55943e-08
562000 1.53452e-08 -4.98241e-08 2.27592e-08 -1.17197e-08
564000 3.12864e-08 5.55818e-08 1.27633e-08 9.96315e-08
566000 -2.428e-08 -9.68278e-09 3.48487e-08 8.85966e-10
