# Time-averaged data for fix avgstress
# TimeStep v_pxy v_pxz v_pyz v_pxx v_pyy v_pzz
402000 -26.9978 9.87836 2.98962 90.9461 1.96682 -92.9129
404000 -13.2278 -58.1651 56.9304 13.2611 -39.8574 26.5962
406000 -92.981 16.2684 94.3975 -3.82142 20.8161 -16.9947
408000 51.5771 130.565 146.165 35.8588 -73.6513 37.7925
410000 -6.74295 -55.8375 32.7679 -143.64 68.2091 75.4305
412000 -102.879 -0.311331 -43.705 -79.1502 64.0084 15.1418
414000 -101.186 -129.367 2.50175 -143.389 112.379 31.01
416000 -17.5633 136.211 17.3403 65.6905 -63.2541 -2.43636
418000 105.502 63.9725 14.8954 61.2789 -58.791 -2.48793
420000 146.546 -73.0384 134.345 -135.341 -25.0594 160.4
422000 23.6892 11.6306 85.3479 -46.3313 -74.9922 121.323
424000 -62.0557 47.7542 -36.6688 31.6116 18.8489 -50.4605
426000 -32.9977 4.20619 18.8727 -2.73889 -66.8227 69.5616
428000 17.8963 91.0172 200.743 82.723 -21.8638 -60.8592
430000 -49.5241 9.04539 106.644 23.1732 -48.9917 25.8185
432000 -35.0801 -48.581 69.7948 124.87 -79.108 -45.7622
434000 24.1009 -10.2293 -14.2495 46.2139 -38.6459 -7.568
436000 -63.1207 38.1002 25.4647 -4.17359 -19.1772 23.3508
438000 -15.1583 118.025 -11.9994 -143.922 61.0622 82.8602
440000 -47.3253 139.959 -59.6104 -70.3109 -9.78621 80.0971
442000 61.5637 -61.4817 -43.5766 -195.07 80.486 114.584
444000 3.74526 -106.869 -11.1111 -120.957 54.4502 66.507
446000 -90.4702 -63.7033 7.47836 -77.9837 -81.416 159.4
448000 14.8642 70.4863 -122.488 -70.1808 63.6408 6.54001
450000 90.4723 -105.415 -105.638 -173.976 94.4835 79.4926
452000 16.6888 89.1326 -111.116 -176.779 115.591 61.1874
454000 95.4038 -31.3983 66.8316 -78.671 -52.5597 131.231
456000 154.552 -65.4016 -117.528 65.2906 -129.458 64.1673
458000 61.2315 -44.4538 37.1711 56.6923 -105.671 48.9791
460000 77.8952 -53.7761 25.9162 68.1025 -108.817 40.7141
462000 44.4363 -50.522 15.2239 138.293 -122.958 -15.3351
464000 127.608 -80.7461 -21.0185 123.522 -24.9641 -98.5575
466000 25.3831 8.59296 -158.695 113.985 -163.121 49.1362
468000 51.754 -93.2666 -156.469 30.7562 47.7525 -78.5087
470000 34.7449 -46.4304 21.8605 88.1961 31.3009 -119.497
472000 109.498 -58.9178 88.2333 40.1057 -49.8484 9.74271
474000 15.3478 -28.8093 -16.5064 -63.8537 39.3185 24.5352
476000 -113.161 39.9955 55.0767 10.9267 -72.5071 61.5804
478000 -91.846 -61.8568 -37.9363 196.007 -73.2895 -122.718
480000 63.4521 42.4348 45.5025 134.846 -25.1792 -109.667
