# Time-averaged data for fix fixmsd
# TimeStep c_msd[4]
2676000 1003.33
2678000 1003.86
2680000 1008.4
2682000 1006.99
2684000 1005.99
2686000 1005.83
2688000 1004
2690000 1005.41
2692000 1007.68
2694000 1008.56
2696000 1008
2698000 1008.5
2700000 1012.22
2702000 1012.63
2704000 1016.63
2706000 1014.75
2708000 1012.55
2710000 1017.07
2712000 1017.89
2714000 1020.22
2716000 1020.61
2718000 1020.38
2720000 1021.32
2722000 1022.66
2724000 1021.57
2726000 1023.18
2728000 1024.65
2730000 1026.64
2732000 1033.09
2734000 1034.31
2736000 1035.82
2738000 1033.2
2740000 1033.32
2742000 1032.43
2744000 1032.12
2746000 1029.79
2748000 1028.88
2750000 1032.16
2752000 1031.81
2754000 1031.83
2756000 1034
2758000 1034.06
2760000 1037.11
2762000 1037.2
2764000 1040.58
2766000 1042.66
2768000 1039.67
2770000 1037.91
2772000 1040.44
2774000 1041.63
2776000 1037.67
2778000 1037.85
2780000 1039.24
2782000 1038.15
2784000 1041.19
2786000 1044.01
2788000 1044.35
2790000 1043.08
2792000 1044.57
2794000 1045.67
2796000 1051.03
2798000 1051.67
2800000 1050.14
2802000 1053.39
2804000 1053.31
2806000 1051.65
2808000 1054.8
2810000 1059.76
2812000 1062.89
2814000 1059.31
2816000 1063.12
2818000 1063.03
2820000 1062.61
2822000 1061
2824000 1059.15
2826000 1058.25
2828000 1059.93
2830000 1060.48
2832000 1061.33
2834000 1063.64
2836000 1068.37
2838000 1067.22
2840000 1068.85
2842000 1072.77
2844000 1072.82
2846000 1072.59
2848000 1072.08
2850000 1075.5
2852000 1068.75
2854000 1069.98
2856000 1064.7
2858000 1062.08
2860000 1066.29
2862000 1067.61
2864000 1069.68
2866000 1072.15
2868000 1072.86
2870000 1072.3
2872000 1075.2
2874000 1071.59
2876000 1071.27
2878000 1069.17
2880000 1069.98
2882000 1073.56
2884000 1074.45
2886000 1076.4
2888000 1078.33
2890000 1079
2892000 1078.57
2894000 1078.39
2896000 1080.47
2898000 1083.16
2900000 1086.42
2902000 1088.82
2904000 1095.03
2906000 1094.43
2908000 1095.46
2910000 1095.47
2912000 1098.85
2914000 1101.77
2916000 1102.36
2918000 1103.02
2920000 1103.72
2922000 1101.08
2924000 1101.84
2926000 1102.84
2928000 1104.39
2930000 1103.3
2932000 1104.66
2934000 1109.15
2936000 1108.26
2938000 1107.1
2940000 1107.12
2942000 1105.01
2944000 1102.91
2946000 1104.77
2948000 1105.02
2950000 1110.53
2952000 1108.73
2954000 1110.56
2956000 1109.08
2958000 1109.37
2960000 1108.09
2962000 1109.57
2964000 1112.88
2966000 1113.09
2968000 1110.78
2970000 1113.58
2972000 1111.54
2974000 1116.7
2976000 1115.87
2978000 1117.89
2980000 1116.68
2982000 1116.16
2984000 1113.22
2986000 1113.06
2988000 1116.44
2990000 1116.34
2992000 1118.07
2994000 1119
2996000 1117.91
2998000 1117.64
3000000 1116.68
3002000 1115.34
3004000 1116.58
3006000 1113.47
3008000 1110.11
3010000 1112.35
3012000 1112.26
3014000 1112.74
3016000 1111.33
3018000 1110.88
3020000 1109.35
3022000 1111.14
3024000 1113.22
3026000 1116.26
3028000 1119.54
3030000 1123.3
3032000 1126.81
3034000 1124.33
3036000 1122.07
3038000 1124.87
3040000 1128.23
3042000 1127.07
3044000 1127.02
3046000 1129.42
3048000 1131.7
3050000 1134.05
3052000 1138.7
3054000 1139.06
3056000 1143.16
3058000 1142.29
3060000 1139.92
3062000 1139.42
3064000 1137.57
3066000 1137.47
3068000 1139.22
3070000 1141.34
3072000 1141.54
3074000 1146.19
3076000 1147.17
3078000 1150.29
3080000 1150.85
3082000 1147.9
3084000 1148.88
3086000 1148.72
3088000 1148.64
3090000 1143.06
3092000 1142.31
3094000 1141.24
3096000 1145.33
3098000 1145.14
3100000 1143.53
3102000 1140.5
3104000 1142.59
3106000 1143.23
3108000 1141.94
3110000 1144.65
3112000 1143.19
3114000 1144.16
3116000 1146.56
3118000 1142.5
3120000 1140.96
3122000 1143.95
3124000 1144.01
3126000 1144.94
3128000 1144.57
3130000 1147.06
3132000 1147.69
3134000 1145.74
3136000 1147.08
3138000 1147.4
3140000 1152.9
3142000 1154.82
3144000 1158.19
3146000 1164.16
3148000 1169.51
3150000 1168.32
3152000 1168.4
3154000 1166.27
3156000 1166.92
3158000 1167.21
3160000 1169.6
3162000 1173.91
3164000 1172.72
3166000 1173.8
3168000 1177.78
3170000 1182.68
3172000 1183.31
3174000 1185.94
3176000 1185.01
3178000 1186.54
3180000 1192.97
3182000 1193.83
3184000 1197.18
3186000 1197.12
3188000 1194.75
3190000 1199.8
3192000 1198.89
3194000 1199.87
3196000 1202.03
3198000 1199.36
3200000 1194.33
3202000 1195.19
3204000 1192.5
3206000 1197.38
3208000 1196.47
3210000 1193.72
3212000 1194.49
3214000 1195.48
3216000 1198.16
3218000 1196.53
3220000 1193.16
3222000 1189.86
3224000 1188.51
3226000 1190.15
3228000 1191.6
3230000 1193.1
3232000 1191.61
3234000 1189.78
3236000 1191.09
3238000 1191.68
3240000 1192.85
3242000 1191.51
3244000 1188.51
3246000 1190.34
3248000 1190.94
3250000 1189.72
3252000 1190.31
3254000 1192.94
3256000 1197
3258000 1195.89
3260000 1198.23
3262000 1201.15
3264000 1206.32
3266000 1206.55
3268000 1200.65
3270000 1199.56
3272000 1200.7
3274000 1199.47
3276000 1203.77
3278000 1202.6
3280000 1207.01
3282000 1206.71
3284000 1213.11
3286000 1214.74
3288000 1212.47
3290000 1212.45
3292000 1212.19
3294000 1213.37
3296000 1212.76
3298000 1212.43
3300000 1208.96
3302000 1207.23
3304000 1211.41
3306000 1211.25
3308000 1211.17
